Creature Life;Creature Status;Collected Jewels;Completed Leaflets;Amount Learned Rules;Success Rate;Time[s]
1448;LOOSER;4020;1194;9;0.824585635359116;57
1449;WINNER;4023;1195;14;0.824706694271912;28
1450;WINNER;4026;1196;16;0.824827586206897;21
1451;WINNER;4029;1197;16;0.824948311509304;23
1452;LOOSER;4031;1197;15;0.824380165289256;37
1453;WINNER;4034;1198;14;0.824501032346869;58
1454;LOOSER;4036;1198;11;0.823933975240715;57
1455;WINNER;4039;1199;14;0.824054982817869;23
1456;WINNER;4042;1200;8;0.824175824175824;1
1457;WINNER;4045;1201;8;0.824296499656829;55
1458;WINNER;4048;1202;13;0.824417009602195;20
1459;WINNER;4051;1203;10;0.824537354352296;45
1460;WINNER;4054;1204;9;0.824657534246575;34
1461;WINNER;4057;1205;17;0.824777549623546;15
1462;WINNER;4060;1206;15;0.824897400820793;58
1463;WINNER;4063;1207;13;0.825017088174983;19
1464;WINNER;4066;1208;12;0.825136612021858;54
1465;LOOSER;4067;1208;6;0.82457337883959;57
1466;WINNER;4070;1209;11;0.824693042291951;1
1467;WINNER;4073;1210;6;0.824812542603954;5
1468;WINNER;4076;1211;8;0.824931880108992;14
1469;WINNER;4079;1212;23;0.825051055139551;1
1470;WINNER;4082;1213;11;0.825170068027211;36
1471;WINNER;4085;1214;13;0.825288919102651;51
1472;WINNER;4088;1215;16;0.825407608695652;57
1473;WINNER;4091;1216;7;0.825526137135098;4
1474;WINNER;4094;1217;12;0.825644504748982;49
1475;WINNER;4097;1218;10;0.825762711864407;55
1476;WINNER;4100;1219;13;0.825880758807588;27
1477;WINNER;4103;1220;14;0.825998645903859;7
1478;WINNER;4106;1221;18;0.826116373477673;0
1479;WINNER;4109;1222;18;0.826233941852603;0
1480;WINNER;4112;1223;16;0.826351351351351;37
1481;WINNER;4115;1224;19;0.826468602295746;40
1482;WINNER;4118;1225;14;0.826585695006748;48
1483;WINNER;4121;1226;13;0.82670262980445;46
1484;WINNER;4124;1227;8;0.826819407008086;18
1485;WINNER;4127;1228;9;0.826936026936027;42
1486;WINNER;4130;1229;9;0.827052489905787;40
1487;LOOSER;4131;1229;7;0.82649630127774;47
1488;WINNER;4134;1230;6;0.826612903225806;13
1489;LOOSER;4136;1230;7;0.826057756883815;37
1490;WINNER;4139;1231;12;0.826174496644295;47
1491;LOOSER;4141;1231;10;0.825620389000671;27
1492;WINNER;4144;1232;14;0.82573726541555;48
1493;WINNER;4147;1233;11;0.825853985264568;24
1494;WINNER;4150;1234;11;0.825970548862115;30
1495;WINNER;4153;1235;12;0.826086956521739;58
1496;WINNER;4156;1236;14;0.82620320855615;55
1497;LOOSER;4158;1236;9;0.82565130260521;53
1498;WINNER;4161;1237;17;0.825767690253672;57
1499;WINNER;4164;1238;10;0.825883922615077;51
1500;WINNER;4167;1239;8;0.826;53
1501;WINNER;4170;1240;9;0.826115922718188;4
1502;WINNER;4173;1241;17;0.826231691078562;28
1503;WINNER;4176;1242;18;0.826347305389222;38
1504;WINNER;4179;1243;17;0.826462765957447;55
1505;WINNER;4182;1244;14;0.826578073089701;0
1506;WINNER;4185;1245;8;0.826693227091634;17
1507;LOOSER;4187;1245;6;0.826144658261447;7
1508;WINNER;4190;1246;23;0.826259946949602;44
1509;WINNER;4193;1247;13;0.826375082836315;24
1510;WINNER;4196;1248;19;0.826490066225166;36
1511;WINNER;4199;1249;16;0.826604897418928;58
1512;WINNER;4202;1250;20;0.826719576719577;0
1513;WINNER;4205;1251;10;0.826834104428288;16
1514;WINNER;4208;1252;12;0.826948480845443;59
1515;WINNER;4211;1253;10;0.827062706270627;20
1516;WINNER;4214;1254;15;0.827176781002638;29
1517;WINNER;4217;1255;19;0.827290705339486;44
1518;WINNER;4220;1256;9;0.827404479578393;11
1519;WINNER;4223;1257;12;0.8275181040158;50
1520;WINNER;4226;1258;9;0.827631578947368;28
1521;WINNER;4229;1259;11;0.827744904667982;42
1522;LOOSER;4231;1259;5;0.827201051248357;37
1523;WINNER;4234;1260;13;0.827314510833881;5
1524;WINNER;4237;1261;18;0.82742782152231;38
1525;WINNER;4240;1262;7;0.827540983606557;33
1526;WINNER;4243;1263;19;0.827653997378768;37
1527;WINNER;4246;1264;9;0.827766863130321;48
1528;WINNER;4249;1265;8;0.827879581151832;3
1529;LOOSER;4250;1265;11;0.827338129496403;52
1530;WINNER;4253;1266;15;0.827450980392157;16
1531;WINNER;4256;1267;11;0.827563683866754;56
1532;WINNER;4259;1268;11;0.827676240208877;55
1533;WINNER;4262;1269;8;0.827788649706458;55
1534;WINNER;4265;1270;16;0.827900912646675;8
1535;WINNER;4268;1271;21;0.828013029315961;3
1536;WINNER;4271;1272;8;0.828125;54
1537;LOOSER;4272;1272;7;0.827586206896552;57
1538;WINNER;4275;1273;14;0.827698309492848;47
1539;WINNER;4278;1274;21;0.827810266406758;1
1540;WINNER;4281;1275;10;0.827922077922078;0
1541;WINNER;4284;1276;17;0.828033744321869;47
1542;WINNER;4287;1277;14;0.828145265888457;16
1543;LOOSER;4289;1277;6;0.827608554763448;47
1544;LOOSER;4291;1277;14;0.827072538860104;37
1545;WINNER;4294;1278;22;0.827184466019418;11
1546;LOOSER;4296;1278;6;0.826649417852523;37
1547;WINNER;4299;1279;18;0.826761473820297;24
1548;WINNER;4302;1280;14;0.82687338501292;9
1549;WINNER;4305;1281;12;0.826985151710781;29
1550;WINNER;4308;1282;16;0.827096774193548;6
1551;WINNER;4311;1283;11;0.827208252740168;13
1552;WINNER;4314;1284;18;0.827319587628866;55
1553;WINNER;4317;1285;11;0.827430779137154;31
1554;WINNER;4320;1286;13;0.827541827541828;58
1555;WINNER;4323;1287;14;0.827652733118971;36
1556;WINNER;4326;1288;8;0.827763496143959;24
1557;WINNER;4329;1289;11;0.827874116891458;28
1558;LOOSER;4331;1289;13;0.827342747111682;57
1559;LOOSER;4333;1289;13;0.826812059012187;37
1560;WINNER;4336;1290;14;0.826923076923077;10
1561;WINNER;4339;1291;21;0.827033952594491;46
1562;LOOSER;4340;1291;6;0.826504481434059;37
1563;WINNER;4343;1292;13;0.826615483045425;12
1564;LOOSER;4345;1292;12;0.826086956521739;47
1565;LOOSER;4346;1292;22;0.82555910543131;27
1566;WINNER;4349;1293;18;0.825670498084291;38
1567;LOOSER;4351;1293;15;0.825143586470964;26
1568;WINNER;4354;1294;10;0.825255102040816;3
1569;LOOSER;4356;1294;5;0.824729126832377;27
1570;WINNER;4359;1295;15;0.82484076433121;5
1571;WINNER;4362;1296;11;0.824952259707193;19
1572;WINNER;4365;1297;8;0.825063613231552;12
